t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,band,blockID,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,alpha_notes,Fr_uplim_bool,state,class,MX,a,ij,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58512.029,0.0,3.472028579650461e-08,2.7286257591860953e-09,2.9959438062269043e-09,False,MAXI J1348-630,L,1548721245,0.014,rise,13.7,0.6867503185292309,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.01572842415876e+29,5.091619115549067e+27,2.0110846931127626e+37,1.5804874215882145e+36,1.7353246357020134e+36
58515.161,0.0,5.944972659177831e-08,5.7062222946707744e-09,6.360454074471836e-09,False,MAXI J1348-630,L,1548991875,0.01,rise,28.57,1.4335313913549297,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",2.1182015385558958e+29,1.0628310811117206e+28,3.443474971928382e+37,3.3051848650008715e+36,3.6841320677448914e+36
58523.219,0.0,2.529653142667935e-07,1.8390511008085004e-08,2.0715108624480048e-08,False,MAXI J1348-630,L,1549688122,0.01,rise,485.6,24.332661177931197,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",3.600275348697035e+30,1.8040420141495685e+29,1.4652375685848289e+38,1.0652238119135782e+37,1.1998702463173275e+37
58530.114,0.0,2.2344177936595692e-07,2.239399991296041e-08,2.5284879263159944e-08,False,MAXI J1348-630,L,1550284172,0.01,decay,16.03,0.8154153849419327,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.1884763970266368e+29,6.04555170789692e+27,1.2942299637694613e+38,1.2971157756730547e+37,1.4645626464994272e+37
58537.092,0.0,1.8764675311535537e-07,1.9293792929004588e-08,2.068104909981364e-08,False,MAXI J1348-630,L,1550886965,0.01,decay,2.057,0.1099960112913191,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.5250754514558898e+28,8.15518797172852e+26,1.0868963323469877e+38,1.1175441313767824e+37,1.1978974345405821e+37
58543.076,0.0,1.713309053500273e-07,1.7833067885678934e-08,1.9224691623606705e-08,False,MAXI J1348-630,L,1551404170,0.01,decay,1.51,0.08364358911476719,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.119525489401261e+28,6.201399340330312e+26,9.92390912984015e+37,1.0329353296896015e+37,1.1135416131263772e+37
58551.1,0.0,1.4602971550811772e-07,1.337546102041461e-08,1.498943874490595e-08,False,MAXI J1348-630,L,1552093390,0.01,decay,0.12,0.04,,,,,True,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,8.458401734341494e+37,7.747397322458173e+36,8.682253076749305e+36
58560.075,0.0,8.558143849484826e-08,7.005866825046229e-09,7.684904671274578e-09,False,MAXI J1348-630,L,1552872672,0.01,decay,0.12,0.04,,,,,True,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,4.957088256136636e+37,4.057971070979893e+36,4.451286559970358e+36
58567.074,0.0,6.323678433696536e-08,4.632027689367475e-09,5.074557912116185e-09,False,MAXI J1348-630,L,1553477469,0.01,decay,0.12,0.04,,,,,True,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,3.6628307084542185e+37,2.6829848229818474e+36,2.939309256031101e+36
58574.061,0.0,5.7237002209290716e-08,5.687664920151905e-09,6.528101096678554e-09,False,MAXI J1348-630,L,1554080984,0.01,decay,8.085,0.4099293384230995,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",5.9942805177544335e+28,3.0392473060798377e+27,3.315308511497167e+37,3.29443597541569e+36,3.781237362955281e+36
58582.053,0.0,4.26113397544549e-08,4.1135925910535376e-09,4.694033982708219e-09,False,MAXI J1348-630,L,1554771678,0.01,decay,9.35,0.47608428875567826,,,,,False,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",6.932161142981318e+28,3.52972514149306e+27,2.468154024868043e+37,2.3826944115773037e+36,2.7189003992951e+36
58588.053,0.0,4.457440870144828e-08,3.869513663141685e-09,4.222532338567421e-09,False,MAXI J1348-630,L,1555290074,0.01,decay,0.135,0.045000000000000005,,,,,True,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.0009002719812598e+27,3.336334239937533e+26,2.5818598259654754e+37,2.2413178691398802e+36,2.445795003542706e+36
58593.074,0.0,4.2429764563818794e-08,4.726704535198527e-09,5.9175492098486e-09,False,MAXI J1348-630,L,1555723938,0.01,decay,0.12,0.04,,,,,True,SS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,2.4576367414367504e+37,2.7378239900782755e+36,3.427590632870343e+36
58602.144,0.0,1.2845402729867395e-08,1.6294288484446881e-09,1.9735534647754384e-09,False,MAXI J1348-630,L,1556507556,0.01,decay,4.725,0.24031242685304477,,,,,False,IMS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",3.5031509519344092e+28,1.7816946177606602e+27,7.440374471083966e+36,9.438054268416662e+35,1.1431309025829248e+36
58607.908,0.0,3.210983725282581e-09,2.440483591705826e-10,2.7106440984876377e-10,False,MAXI J1348-630,L,1557005454,0.01,decay,3.429,0.17518876248207244,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",2.5422866908323993e+28,1.2988628149360488e+27,1.8598810671080636e+36,1.4135883626760203e+35,1.5700719996647414e+35
