t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,band,blockID,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,alpha_notes,Fr_uplim_bool,state,class,MX,a,ij,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
60191.66891,0.0,2.2720876905740328e-07,2.166177760597466e-08,2.4217671761667283e-08,False,Swift J1727.8-1613,L,1693837274,0.01041666667,peak/trough,91.58,4.579174707302616,0.04,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",9.483289579099726e+29,4.741825702406632e+28,1.838118441425998e+38,1.7524373313932774e+37,1.9592091123153684e+37
60193.64001,0.0,2.3678464534540553e-07,2.022829501407017e-08,2.250075127943762e-08,False,Swift J1727.8-1613,L,1694011170,0.01041666667,peak/trough,95.57,4.778761581204905,0.05,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",9.896461946653861e+29,4.9485018458225154e+28,1.915587259512609e+38,1.63646862126937e+37,1.8203102831046423e+37
60195.63401,0.0,2.218100429855295e-07,2.08969994671608e-08,2.2360347949442974e-08,False,Swift J1727.8-1613,L,1694179874,0.01041666667,peak/trough,86.64,4.332184668270733,0.04,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",8.971742838318414e+29,4.486062646794873e+28,1.7944427593909817e+38,1.6905667968014523e+37,1.808951656799353e+37
60203.65151,0.0,2.0856544429231243e-07,2.0584351542695303e-08,2.225167599912644e-08,False,Swift J1727.8-1613,L,1694873611,0.01041666667,peak/trough,85.15,4.257687899552996,0.04,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",8.817450400309475e+29,4.408919773846902e+28,1.6872939851236546e+38,1.665273586595802e+37,1.8001600984113893e+37
60359.14833,0.0,6.609283641561928e-09,6.056098464526453e-10,6.919878053661174e-10,False,Swift J1727.8-1613,L,1708313133,0.01041666667,decay,2.796253889,0.1411943292715451,0.01970403738,,,,False,SS,BH,>3,,,2.6,"('gauss',2.6,1.7)",2.895576039099234e+28,1.4620951205599687e+27,5.346909010849336e+36,4.899382324423111e+35,5.5981798218536656e+35
60365.12108,0.0,5.883274577576499e-09,5.561560830664683e-10,6.131101633039352e-10,False,Swift J1727.8-1613,L,1708829174,0.01041666667,decay,2.196233022,0.11155398141917605,0.0196390441,,,,False,SS,BH,>3,,,2.6,"('gauss',2.6,1.7)",2.2742426000007972e+28,1.155163474011309e+27,4.759567837931449e+36,4.499301487511909e+35,4.9600598712365045e+35
60373.1155,0.0,4.436131676299963e-09,3.24649819819128e-10,3.8182358363454233e-10,False,Swift J1727.8-1613,L,1709519895,0.01041666667,decay,1.468777075,0.07596356754911203,0.01942159506,,,,False,SS,BH,>3,,,2.6,"('gauss',2.6,1.7)",1.520947622774413e+28,7.866177206046431e+26,3.5888295494179985e+36,2.6264163275511675e+35,3.0889519509376775e+35
60378.12049,0.0,4.280749358386836e-09,4.202285018146025e-10,4.707853593300389e-10,False,Swift J1727.8-1613,L,1709952327,0.01041666667,decay,1.105700969,0.05797627166412147,0.01745885145,,,,False,SS,BH,>3,,,2.6,"('gauss',2.6,1.7)",1.1449751558111125e+28,6.003557249480431e+26,3.463125288436999e+36,3.399647654457775e+35,3.808652520445988e+35
60407.93309,0.0,1.2908063189305712e-09,1.2850064389267937e-10,1.4514386560405932e-10,False,Swift J1727.8-1613,L,1712527817,0.01041666667,decay,0.8324338126,0.046926747174618255,0.02167381991,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",8.620016270277172e+27,4.859357200940214e+26,1.0442620278163869e+36,1.0395699261702977e+35,1.1742135531717718e+35
60412.98246,0.0,1.0653299008803868e-09,1.0495052378836682e-10,1.1838508113929141e-10,False,Swift J1727.8-1613,L,1712964345,0.01041666667,decay,0.6590755078,0.03850920795507884,0.0199250542,,,,False,HS,BH,>3,,,2.6,"('gauss',2.6,1.7)",6.824856840969208e+27,3.9877044169008894e+26,8.618516552572133e+35,8.49049506377004e+34,9.577350457669505e+34
